OSNO (76, 892) 10 2 4 2 6 2 8 4 14 4 10 2 2 2 12 5 1 18
CS (32, 372) (57, 1371) - 1 5 22 4 18 4 22 5 1 29 4 10 2 12 4 26 5 1 33 6 26 6 33 1 5 26 4 12 2 10 4 29
CS (36, 532) (57, 2120) - 1 5 24 5 1 31 6 24 6 30 6 24 5 1 31 6 24 6 30 6 24 6 30 6 24 6 31 1 5 24 6 30 6 24 6 31
CS (36, 564) (57, 664) - 1 5 26 5 1 33 6 26 6 32 6 26 5 1 33 6 26 6 32 6 26 6 32 6 26 6 33 1 5 26 6 32 6 26 6 33
CS (56, 664) (57, 56) - 1 5 20 4 22 4 20 4 22 4 20 4 20 4 22 4 20 4 22 4 20 5 1 27 4 16 4 26 5 1 34 1 5 26 4 16 4 27 1 6 1 27 4 16 4 26 5 1 34 1 5 26 4 16 4 27
CS (26, 272) (58, 2469) - 1 5 18 4 18 5 1 25 6 29 1 5 23 1 6 1 26 1 6 1 23 5 1 29 6 25
CS (38, 404) (58, 427) - 1 5 23 1 6 1 31 6 27 1 6 1 27 6 31 1 6 1 23 5 1 30 1 6 1 23 4 18 4 20 4 18 4 23 1 6 1 30
CS (38, 428) (58, 1295) - 1 5 24 5 1 31 6 31 1 6 1 25 5 1 32 1 6 1 23 4 20 4 20 4 23 1 6 1 32 1 5 25 1 6 1 31 6 31
CS (40, 428) (58, 345) - 1 5 20 4 22 4 18 4 24 4 18 4 22 4 20 5 1 27 4 14 2 6 2 16 4 26 5 1 34 1 5 26 4 16 2 6 2 14 4 27
CS (44, 528) (58, 278) - 1 5 20 4 14 4 23 1 6 1 25 6 28 6 25 1 6 1 23 4 14 4 20 5 1 27 6 26 6 26 6 27 1 5 20 5 1 27 6 26 6 26 6 27
CS (48, 524) (58, 32) - 1 5 18 4 18 2 2 2 16 4 22 6 31 1 5 24 4 12 4 26 6 28 6 26 4 12 4 24 5 1 31 6 22 4 16 2 2 2 18 4 18 5 1 25 4 12 4 25
CS (52, 516) (58, 539) - 1 5 21 1 6 1 29 6 23 1 6 1 26 1 6 1 23 6 29 1 6 1 21 5 1 29 6 23 1 6 1 26 1 6 1 23 5 1 30 1 5 23 1 6 1 26 1 6 1 23 6 29
OSO (9, 113) (59, 2889) - 1 5 22 4 16 4 24 6 31
OSO (9, 123) (59, 565) - 1 5 18 4 24 6 32 6 27
OSO (11, 113) (59, 813) - 1 5 22 4 16 4 23 1 6 1 30
OSO (11, 129) (59, 1262) - 1 5 22 5 1 29 6 24 5 1 30
OSO (13, 133) (59, 1162) - 1 5 23 1 6 1 29 6 23 1 6 1 30
CS (40, 564) (59, 314) - 1 5 24 4 16 4 24 5 1 31 6 28 6 32 6 26 5 1 33 6 24 4 18 4 20 4 18 4 24 6 33 1 5 26 6 32 6 28 6 31
CS (64, 736) (59, 254) - 1 5 22 4 18 4 22 5 1 30 1 6 1 25 5 1 33 6 25 1 6 1 30 1 5 22 4 18 4 22 5 1 30 1 6 1 25 6 33 1 5 25 1 6 1 30 1 5 22 4 18 4 22 5 1 31 6 26 4 14 4 26 6 31
CS (26, 252) (60, 883) - 1 5 18 2 2 2 16 4 16 2 2 2 18 5 1 27 6 24 5 1 30 1 5 24 6 27
CS (32, 356) (60, 424) - 1 5 22 4 14 2 8 4 29 1 5 22 4 16 4 22 5 1 29 4 8 2 14 4 22 5 1 29 6 28 6 29
CS (40, 420) (60, 103) - 1 5 18 4 16 4 22 6 29 1 5 20 4 16 2 2 2 16 2 2 2 16 4 20 5 1 29 6 22 4 16 4 18 5 1 25 6 28 6 25
CS (44, 444) (60, 777) - 1 5 20 4 18 4 21 1 6 1 30 1 6 1 21 4 18 4 20 5 1 28 1 6 1 23 4 16 4 22 5 1 30 1 5 22 4 16 4 23 1 6 1 28
CS (44, 516) (60, 982) - 1 5 22 6 29 1 6 1 23 6 29 1 5 22 6 30 6 22 5 1 29 6 23 1 6 1 29 6 22 5 1 29 6 23 1 6 1 28 1 6 1 23 6 29
CS (44, 524) (60, 239) - 1 5 22 5 1 29 6 29 1 6 1 25 5 1 32 1 5 24 5 1 31 6 26 4 14 4 26 6 31 1 5 24 5 1 32 1 5 25 1 6 1 29 6 29
CS (44, 564) (60, 188) - 1 5 24 4 18 4 18 4 24 6 33 1 5 26 5 1 33 6 24 4 18 4 18 4 24 5 1 33 6 24 4 16 4 22 4 18 4 22 4 16 4 24 6 33
